glacier name,lat,lon,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Siachen,35.47,77.04,0.047607606,0.026507985,0.310769068,-0.045256646,0.025237675,0.302603419,0.008034707,-0.051483292,-0.05414317,-0.206899707,-0.145836857,-0.070958204,0.095304608,-0.077796366,0.056870305,0.001601903,-0.202628106,0.076712932,-0.19231515,-0.233123713,0.464999188,0.000569537,0.408678894,0.297984698,-0.033924132,-0.267460032,-0.104524968,-0.185335474,-0.140602848,0.118975693,-0.136743761,0.321291811,-0.367375022,-0.328714492,0.020531272,0.299398083,0.251270873,0.14145972,0.07055776,0.11132088,0.218462844,0.115608309,-0.070088912,-0.159672131,0.487838754,-0.374102827,0.012063717,0.0184722,-0.244018195,-0.376861185,0.098179808,0.057617936,0.155178161,-0.036522585,-0.161295003,-0.104557596,-0.219475223,-0.255134041,0.042493289,-0.380526054,-0.126823618,-0.317226404,-0.211646012
Chorabari,30.76,79.05,-0.357097781,-0.748332689,-0.394838503,-0.341388521,-0.315864163,-0.228488423,-0.661205592,-0.422415727,-0.825026329,-0.865686261,-0.622717876,-0.393381874,-0.545444777,-0.603164477,-0.419135289,-0.478226743,-0.447639895,-0.031155655,-0.66193578,0.120044118,-0.295731061,-0.178489118,-0.196046319,0.133839943,0.214841091,0.13086821,-0.176757747,-0.175678579,-0.177103363,-0.332375925,-0.153630131,0.128849528,-0.420772826,-0.143892818,0.173295077,-0.352963593,-0.203769245,-0.0878039,-0.072806608,-0.391659659,-0.005222039,-0.338830913,-0.590300583,-0.519221712,-0.404611326,-0.361961781,-0.264151939,-0.657312813,-0.3311292,-0.896756074,-0.644901418,-0.493024519,-0.891556271,-0.813127795,-0.882539971,-0.709754507,-0.571196126,-0.777646655,-0.818699011,-0.501510132,-1.052765564,-0.498914434,-0.783291537
Shaune,31.28,78.33,-0.888070777,-1.954736745,-1.327015737,-0.890066217,-1.296689742,-0.632443688,-1.564217535,-0.921431592,-2.042456846,-2.211488445,-1.467083203,-1.193458038,-0.999756136,-0.959907491,-0.921154312,-0.972464002,-1.139297825,-0.882500671,-1.530996672,-0.427349953,-1.316281376,-0.803177854,-0.415158679,0.291649011,0.290083982,0.224823737,-0.702583245,-0.374902255,-1.009802364,-1.085285884,-0.517523643,-0.060895069,-1.101279306,-0.252760169,0.188153444,-0.671967993,-0.299975952,0.120091693,-0.544974065,-0.834095079,0.146018566,-1.05274869,-1.112268942,-1.222520438,-0.692159975,-0.510912555,-0.948908374,-1.508491509,-1.133960303,-1.801732526,-1.777934891,-1.004003896,-1.516393752,-1.299445091,-1.612385079,-1.690852934,-0.824836466,-1.649882153,-1.766965688,-1.628906623,-2.0650797,-1.560321284,-1.437136962
Tipra,30.73,79.68,-0.480057574,-0.931270338,-0.517129592,-0.571216609,-0.386808977,-0.458662894,-0.911130267,-0.694643222,-1.016829275,-1.296797852,-1.018982016,-0.72437303,-0.81600994,-0.805691487,-0.646652894,-0.706506029,-0.569827748,-0.219743641,-0.806905892,-0.162237746,-0.456117398,-0.294361029,-0.233318819,0.049788199,0.187403725,-0.046554089,-0.340481251,-0.346777817,-0.257431835,-0.555532681,-0.352412684,-0.034068365,-0.521982008,-0.293739065,-0.061758901,-0.553557153,-0.43591014,-0.210172745,-0.350223508,-0.501185309,-0.087871589,-0.480018568,-0.836285785,-0.681216963,-0.678779813,-0.573000917,-0.554672592,-0.825947954,-0.542001304,-1.09426306,-0.899326137,-0.833165764,-1.003378699,-1.172153897,-0.949660235,-1.097958323,-0.7883235,-1.003547737,-0.924004863,-0.62255312,-1.360727065,-0.668806631,-1.177726312
Gara,31.4,78.5,-0.711891046,-1.25025514,-0.892464188,-0.604432317,-0.941519693,-0.437337926,-1.045770945,-0.736616557,-1.277637173,-1.364780056,-0.889656971,-0.693210819,-0.731966564,-0.672421427,-0.634068786,-0.669626098,-0.829593873,-0.479498174,-1.127169145,-0.336170424,-0.709401302,-0.65305408,-0.356561024,0.101600211,0.185647704,0.046569521,-0.413055168,-0.265927476,-0.763699738,-0.752615142,-0.331161724,-0.129868199,-0.710230612,-0.357603618,0.089987726,-0.4461269,-0.243487061,-0.005823534,-0.543257055,-0.595710849,0.02932482,-0.637255791,-0.827834218,-0.703749698,-0.52544417,-0.472321715,-0.705835476,-1.007207504,-0.856068239,-1.187455001,-0.959245461,-0.614416684,-1.033572927,-0.836831211,-1.109584996,-1.100940947,-0.510431721,-0.944109248,-1.174870093,-1.139170582,-1.337053722,-1.009910318,-0.855608665
Gor Garang,31.37,78.49,-0.874007011,-1.249100257,-0.90111365,-0.689958925,-1.054016289,-0.360541066,-1.248865422,-0.902878246,-1.252580979,-1.155308416,-0.872381346,-0.649576408,-0.812431668,-0.74248106,-0.642749546,-0.745452856,-0.95763805,-0.346186443,-1.349689835,-0.440033879,-0.518701694,-0.851528346,-0.53396314,-0.182466988,-0.105731234,-0.064914435,-0.479347953,-0.06641926,-0.926254623,-0.726591509,-0.016433012,-0.207435405,-0.80905131,-0.674027764,0.155621904,-0.241817002,-0.365287404,-0.321791928,-0.763775518,-0.764686626,-0.101112208,-0.635283131,-1.077428924,-0.828243006,-0.534106551,-0.61288326,-0.744439246,-1.044353953,-1.061560873,-1.37952813,-0.67741193,-0.570777058,-1.294739452,-0.817770941,-1.302106372,-1.125417941,-0.706772334,-0.939582558,-1.422516756,-1.271839565,-1.473250859,-0.927081477,-0.76371012
Neh Nar,34.16,75.52,-0.590019645,-0.619104727,-0.12051927,-0.602717532,-0.478679287,0.407742448,-0.074574583,-0.314302906,-0.859474932,-1.195341591,-0.5296749,-0.757724525,0.140282049,-0.468913483,0.044274274,-0.463641439,-0.974745807,-0.201954431,-1.265059273,-1.330454009,0.365983855,-0.091804289,0.541016979,0.350014534,-0.578402839,-1.188465598,-0.917489193,-0.366332476,-0.629026055,-0.074095807,-0.224507263,0.660430429,-1.018968323,-1.220946752,0.11248705,0.488246716,-0.085476208,-0.234915689,-0.465344934,-0.311095194,0.085905823,-0.174106261,-0.479927512,-0.431262364,0.816662418,-1.029398746,0.03068568,-0.25683204,-1.319009796,-1.48321094,-0.160782998,-0.192436889,-0.363440807,-0.605873357,-0.73183259,-0.594894403,-0.9034376,-0.334864501,0.08928349,-1.120220093,-0.760636795,-1.026729675,-0.609772613
Kangwure,28.45,85.75,-0.41540707,-0.556164655,-0.041617032,-0.215627498,-0.264541365,-0.782460294,-0.579553689,-0.070455728,-0.369255062,-0.426317325,0.143671222,-0.145300563,-0.245608508,0.10488047,-0.20447682,-0.202654541,-0.090816774,-0.327369768,-0.461851282,-0.031854451,-0.182759658,0.063088457,0.000935521,0.191080951,0.181122015,-0.21161887,-0.056819171,-0.263973647,-0.364055922,-0.481937405,-0.504566092,-0.455175259,-0.138014011,-0.26585245,-0.105130737,-0.265989498,-0.170780898,-0.218529639,-0.639992171,-0.402508466,-0.227629907,-0.561977829,-0.870788054,-0.609310804,-0.097797568,-0.499592356,-0.541363297,-0.294768876,-0.549424357,-0.727087545,-0.633600279,-0.50470893,-0.550670984,-0.65780241,-0.449270208,-0.637252895,-0.184863111,-0.783823887,-1.084720446,-0.464968107,-0.773436748,-0.566099994,-0.217221959
Naimona'nyi,30.45,81.33,-0.315470123,-0.420007415,-0.131290167,0.061452516,0.090383595,-0.110312791,0.026158058,0.000445925,-0.154073043,-0.303047354,-0.300069997,-0.356935872,-0.196645254,0.025118804,0.042787497,-0.127837796,-0.019392675,-0.030581846,-0.146374196,-0.227268118,-0.233214207,-0.133318732,-0.031357062,0.166149722,0.068271564,-0.11475336,-0.041977119,0.096413175,-0.089665295,-0.375228513,-0.059056596,0.065215249,-0.243014438,-0.19170815,0.006985806,-0.190915997,-0.327932055,-0.109371529,-0.261917029,-0.453216467,-0.112177494,-0.371086434,-0.379136901,-0.245694508,-0.423359718,-0.331376041,-0.648134802,-0.276960205,-0.323043571,-0.763886601,-0.367488364,-0.569489702,-0.428449212,-0.527656012,-0.383949197,-0.663682391,-0.730300809,-0.555434097,-0.404086173,-0.530201368,-0.704891423,-0.711434432,-0.469707669
Dunagiri,30.55,79.9,-1.396124716,-1.770440225,-1.44897149,-1.477070782,-1.618172473,-1.172911998,-1.843049252,-1.674615236,-1.973253151,-1.885783009,-1.681912997,-1.300952215,-1.59417867,-1.530614419,-1.450649694,-1.367173855,-1.432116899,-0.978575395,-1.996432064,-0.948063656,-1.401621709,-1.436415737,-1.085698169,-1.025338795,-1.018934124,-0.922603039,-1.581208752,-0.94603948,-1.511843764,-1.40540224,-0.821775154,-0.784579958,-1.565590549,-1.440383316,-0.745908592,-0.991064106,-1.555142255,-1.163974073,-1.17330414,-1.470509467,-0.956525502,-1.361141436,-1.859234185,-1.695602843,-1.399704997,-1.235384281,-1.337678154,-1.742522233,-1.554059051,-2.016020969,-1.59396366,-1.397143484,-1.986644734,-1.796976988,-2.139844683,-1.625999149,-1.892644823,-2.134403745,-1.837610339,-1.904871457,-2.298838375,-1.565532595,-1.735617788
